 Nascidos vivos - Bahia
Nascim p/ocorrênc por Município e Local ocorrência
Período:2022
"Município";"Hospital";"Outro Estabelecimento de Saúde";"Domicílio";"Outro";"Ignorado";"Total"
"291510 ITAGI";7;-;2;1;-;10
"291520 ITAGIBA";-;-;-;1;-;1
"291530 ITAGIMIRIM";19;-;1;-;-;20
"291535 ITAGUACU DA BAHIA";74;-;1;2;-;77
"291540 ITAJU DO COLONIA";40;-;-;-;-;40
"291550 ITAJUIPE";52;-;2;-;-;54
"291560 ITAMARAJU";1074;1;5;3;-;1083
"291570 ITAMARI";-;1;1;1;-;3
"291580 ITAMBE";168;-;1;-;-;169
"291590 ITANAGRA";2;1;4;2;-;9
"291600 ITANHEM";83;-;-;-;-;83
"291610 ITAPARICA";730;-;-;1;-;731
"291620 ITAPE";-;-;-;-;-;-
"291630 ITAPEBI";21;-;-;1;-;22
"291640 ITAPETINGA";740;12;-;-;-;752
"291650 ITAPICURU";130;-;4;2;-;136
"291660 ITAPITANGA";19;-;-;-;-;19
"291670 ITAQUARA";13;-;-;-;-;13
"291680 ITARANTIM";84;-;-;-;-;84
"291685 ITATIM";52;-;-;-;-;52
"291690 ITIRUCU";19;-;-;-;-;19
"291700 ITIUBA";261;2;1;-;-;264
"291710 ITORORO";57;-;-;-;-;57
"291720 ITUACU";41;-;2;-;-;43
"291730 ITUBERA";146;-;2;1;-;149
"291733 IUIU";46;-;-;-;-;46
"291735 JABORANDI";170;-;-;-;-;170
"291740 JACARACI";110;-;-;-;-;110
"291750 JACOBINA";2062;6;2;2;-;2072
"291760 JAGUAQUARA";675;-;5;-;-;680
"291770 JAGUARARI";190;1;-;1;-;192
"291780 JAGUARIPE";-;-;1;-;-;1
"291790 JANDAIRA";-;-;1;-;-;1
"291800 JEQUIE";3852;3;14;20;-;3889
"291810 JEREMOABO";185;-;3;-;-;188
"291820 JIQUIRICA";20;1;2;-;-;23
"291830 JITAUNA";4;-;-;1;-;5
"291835 JOAO DOURADO";171;-;1;-;-;172
"291840 JUAZEIRO";4686;7;45;38;-;4776
"291845 JUCURUCU";20;-;1;-;-;21
"291850 JUSSARA";95;-;-;-;-;95
"291855 JUSSARI";17;-;-;-;-;17
"291860 JUSSIAPE";12;-;1;1;-;14
"291870 LAFAIETE COUTINHO";-;-;-;-;-;-
"291875 LAGOA REAL";2;4;-;-;-;6
"291880 LAJE";51;-;1;1;-;53
"291890 LAJEDAO";-;-;-;-;-;-
"291900 LAJEDINHO";-;3;-;-;-;3
"291905 LAJEDO DO TABOCAL";10;-;-;-;-;10
"291910 LAMARAO";-;-;2;-;-;2
"291915 LAPAO";152;-;-;1;-;153
"291920 LAURO DE FREITAS";306;-;10;1;-;317
"291930 LENCOIS";21;-;2;1;-;24
"291940 LICINIO DE ALMEIDA";99;-;-;-;-;99
"291950 LIVRAMENTO DE NOSSA SENHORA";438;273;-;2;-;713
"291955 LUIS EDUARDO MAGALHAES";2102;10;3;1;-;2116
"291960 MACAJUBA";39;-;1;-;-;40
"291970 MACARANI";53;5;-;-;-;58
"291980 MACAUBAS";396;5;1;-;-;402
"291990 MACURURE";4;21;1;-;-;26
"291992 MADRE DE DEUS";192;-;-;-;-;192
"291995 MAETINGA";-;6;1;-;-;7
"292000 MAIQUINIQUE";29;-;-;-;-;29
"292010 MAIRI";55;-;1;-;1;57
"292020 MALHADA";96;1;-;-;-;97
"292030 MALHADA DE PEDRAS";-;18;-;-;-;18
"292040 MANOEL VITORINO";-;-;1;3;-;4
"292045 MANSIDAO";-;1;-;-;-;1
"292050 MARACAS";99;-;1;-;-;100
"292060 MARAGOGIPE";32;6;1;-;-;39
"292070 MARAU";-;11;5;7;-;23
"292080 MARCIONILIO SOUZA";13;-;1;-;-;14
"292090 MASCOTE";-;-;2;2;-;4
"292100 MATA DE SAO JOAO";478;8;6;12;-;504
"292105 MATINA";36;-;-;-;-;36
"292110 MEDEIROS NETO";206;-;1;2;-;209
"292120 MIGUEL CALMON";221;-;1;-;-;222
"292130 MILAGRES";54;-;-;1;-;55
"292140 MIRANGABA";-;11;1;1;-;13
"292145 MIRANTE";-;8;1;-;-;9
"292150 MONTE SANTO";545;-;-;1;-;546
"292160 MORPARA";-;23;1;-;-;24
"292170 MORRO DO CHAPEU";287;-;1;-;-;288
"292180 MORTUGABA";76;-;-;-;-;76
"292190 MUCUGE";117;-;-;-;-;117
"292200 MUCURI";587;-;3;1;-;591
"292205 MULUNGU DO MORRO";116;-;-;-;-;116
"292210 MUNDO NOVO";74;-;1;2;-;77
"292220 MUNIZ FERREIRA";-;-;-;-;-;-
"292225 MUQUEM DE SAO FRANCISCO";-;-;2;1;-;3
"292230 MURITIBA";-;-;2;-;-;2
"292240 MUTUIPE";140;-;1;-;-;141
"292250 NAZARE";84;-;-;-;-;84
"292260 NILO PECANHA";-;9;1;-;1;11
"292265 NORDESTINA";63;-;-;1;-;64
"292270 NOVA CANAA";49;-;1;-;-;50
"292273 NOVA FATIMA";-;-;-;-;-;-
"292275 NOVA IBIA";-;-;-;-;-;-
"292280 NOVA ITARANA";-;-;1;-;-;1
"292285 NOVA REDENCAO";-;11;1;-;-;12
"292290 NOVA SOURE";84;-;-;-;-;84
"292300 NOVA VICOSA";288;5;1;-;-;294
"292303 NOVO HORIZONTE";-;-;-;-;-;-
"292305 NOVO TRIUNFO";-;-;-;-;-;-
"292310 OLINDINA";106;-;-;-;-;106
"292320 OLIVEIRA DOS BREJINHOS";116;-;-;-;-;116
"292330 OURICANGAS";25;-;1;-;-;26
"292335 OUROLANDIA";97;1;-;-;-;98
"292340 PALMAS DE MONTE ALTO";111;-;-;2;-;113
"292350 PALMEIRAS";-;-;19;-;-;19
"292360 PARAMIRIM";696;-;-;2;-;698
"292370 PARATINGA";115;-;1;1;-;117
"292380 PARIPIRANGA";9;-;1;1;-;11
"292390 PAU BRASIL";63;-;1;-;-;64
"292400 PAULO AFONSO";2402;67;5;4;-;2478
"292405 PE DE SERRA";17;-;1;1;-;19
"292410 PEDRAO";-;-;-;1;-;1
"292420 PEDRO ALEXANDRE";-;6;2;-;-;8
"292430 PIATA";172;-;-;-;-;172
"292440 PILAO ARCADO";416;-;2;-;-;418
"292450 PINDAI";158;-;1;1;-;160
"292460 PINDOBACU";175;1;-;-;-;176
"292465 PINTADAS";31;-;-;-;-;31
"292467 PIRAI DO NORTE";-;2;-;-;-;2
"292470 PIRIPA";28;-;1;-;-;29
"292480 PIRITIBA";59;-;-;3;-;62
"292490 PLANALTINO";-;-;-;-;-;-
"292500 PLANALTO";83;2;1;2;-;88
"292510 POCOES";356;1;-;1;-;358
"292520 POJUCA";273;1;-;1;-;275
"292525 PONTO NOVO";252;-;-;-;-;252
"292530 PORTO SEGURO";3122;58;42;21;-;3243
"292540 POTIRAGUA";37;-;-;-;-;37
"292550 PRADO";274;-;2;2;-;278
"292560 PRESIDENTE DUTRA";49;-;1;-;-;50
"292570 PRESIDENTE JANIO QUADROS";-;34;-;-;-;34
"292575 PRESIDENTE TANCREDO NEVES";162;-;-;-;-;162
"292580 QUEIMADAS";10;271;1;-;-;282
"292590 QUIJINGUE";138;-;6;-;-;144
"292593 QUIXABEIRA";-;-;-;-;-;-
"292595 RAFAEL JAMBEIRO";84;-;1;4;-;89
"292600 REMANSO";684;106;2;1;-;793
"292610 RETIROLANDIA";148;-;-;-;-;148
"292620 RIACHAO DAS NEVES";51;-;1;2;-;54
"292630 RIACHAO DO JACUIPE";1039;-;1;-;-;1040
"292640 RIACHO DE SANTANA";211;-;1;1;-;213
"292650 RIBEIRA DO AMPARO";31;1;-;-;-;32
"292660 RIBEIRA DO POMBAL";1511;2;3;6;-;1522
"292665 RIBEIRAO DO LARGO";-;-;-;-;-;-
"292670 RIO DE CONTAS";28;-;1;-;-;29
"292680 RIO DO ANTONIO";1;4;1;-;-;6
"292690 RIO DO PIRES";-;-;-;-;-;-
"292700 RIO REAL";265;-;5;-;-;270
"292710 RODELAS";-;14;-;-;-;14
"292720 RUY BARBOSA";249;-;1;-;-;250
"292730 SALINAS DA MARGARIDA";29;-;-;-;-;29
"292740 SALVADOR";36267;428;125;68;1;36889
"292750 SANTA BARBARA";35;-;-;2;-;37
"292760 SANTA BRIGIDA";-;-;-;-;-;-
"292770 SANTA CRUZ CABRALIA";25;-;5;1;-;31
"292780 SANTA CRUZ DA VITORIA";-;-;-;-;-;-
"292790 SANTA INES";37;-;-;-;-;37
"292800 SANTALUZ";408;22;1;5;-;436
"292805 SANTA LUZIA";-;-;4;1;-;5
"292810 SANTA MARIA DA VITORIA";461;13;1;-;-;475
"292820 SANTANA";223;-;-;1;-;224
"292830 SANTANOPOLIS";10;-;-;1;-;11
"292840 SANTA RITA DE CASSIA";128;-;1;2;-;131
"292850 SANTA TEREZINHA";59;-;2;-;-;61
"292860 SANTO AMARO";258;4;5;10;-;277
"292870 SANTO ANTONIO DE JESUS";2945;3;4;8;-;2960
"292880 SANTO ESTEVAO";151;67;1;3;-;222
"292890 SAO DESIDERIO";412;-;-;-;-;412
"292895 SAO DOMINGOS";13;-;-;-;-;13
"292900 SAO FELIX";544;-;-;2;-;546
"292905 SAO FELIX DO CORIBE";211;17;-;-;-;228
"292910 SAO FELIPE";5;-;-;-;-;5
"292920 SAO FRANCISCO DO CONDE";340;1;-;-;-;341
"292925 SAO GABRIEL";82;-;1;1;-;84
"292930 SAO GONCALO DOS CAMPOS";15;-;1;-;-;16
"292935 SAO JOSE DA VITORIA";-;-;-;-;-;-
"292937 SAO JOSE DO JACUIPE";-;-;-;-;-;-
"292940 SAO MIGUEL DAS MATAS";5;-;-;-;-;5
"292950 SAO SEBASTIAO DO PASSE";112;-;1;1;-;114
"292960 SAPEACU";175;-;-;1;-;176
"292970 SATIRO DIAS";110;-;-;-;-;110
"292975 SAUBARA";12;-;-;-;-;12
"292980 SAUDE";45;-;-;-;-;45
"292990 SEABRA";1257;8;-;2;-;1267
"293000 SEBASTIAO LARANJEIRAS";10;-;-;-;-;10
"293010 SENHOR DO BONFIM";1069;5;-;-;-;1074
"293015 SERRA DO RAMALHO";303;-;5;-;-;308
"293020 SENTO SE";138;-;5;6;-;149
"293030 SERRA DOURADA";169;-;2;2;-;173
