 Nascidos vivos - Bahia
Nascim p/resid.mãe por Município
Período:2022
"Município";"Nascim_p/resid.mãe"
"292320 OLIVEIRA DOS BREJINHOS";251
"292330 OURICANGAS";70
"292335 OUROLANDIA";219
"292340 PALMAS DE MONTE ALTO";215
"292350 PALMEIRAS";128
"292360 PARAMIRIM";218
"292370 PARATINGA";379
"292380 PARIPIRANGA";271
"292390 PAU BRASIL";142
"292400 PAULO AFONSO";1527
"292405 PE DE SERRA";153
"292410 PEDRAO";66
"292420 PEDRO ALEXANDRE";187
"292430 PIATA";279
"292440 PILAO ARCADO";521
"292450 PINDAI";200
"292460 PINDOBACU";253
"292465 PINTADAS";82
"292467 PIRAI DO NORTE";93
"292470 PIRIPA";89
"292480 PIRITIBA";172
"292490 PLANALTINO";60
"292500 PLANALTO";287
"292510 POCOES";562
"292520 POJUCA";374
"292525 PONTO NOVO";255
"292530 PORTO SEGURO";2775
"292540 POTIRAGUA";102
"292550 PRADO";535
"292560 PRESIDENTE DUTRA";160
"292570 PRESIDENTE JANIO QUADROS";121
"292575 PRESIDENTE TANCREDO NEVES";379
"292580 QUEIMADAS";255
"292590 QUIJINGUE";309
"292593 QUIXABEIRA";81
"292595 RAFAEL JAMBEIRO";203
"292600 REMANSO";536
"292610 RETIROLANDIA";201
"292620 RIACHAO DAS NEVES";263
"292630 RIACHAO DO JACUIPE";393
"292640 RIACHO DE SANTANA";291
"292650 RIBEIRA DO AMPARO";147
"292660 RIBEIRA DO POMBAL";753
"292665 RIBEIRAO DO LARGO";105
"292670 RIO DE CONTAS";118
"292680 RIO DO ANTONIO";141
"292690 RIO DO PIRES";71
"292700 RIO REAL";438
"292710 RODELAS";151
"292720 RUY BARBOSA";343
"292730 SALINAS DA MARGARIDA";176
"292740 SALVADOR";27167
"292750 SANTA BARBARA";189
"292760 SANTA BRIGIDA";201
"292770 SANTA CRUZ CABRALIA";431
"292780 SANTA CRUZ DA VITORIA";64
"292790 SANTA INES";101
"292800 SANTALUZ";498
"292805 SANTA LUZIA";135
"292810 SANTA MARIA DA VITORIA";474
"292820 SANTANA";272
"292830 SANTANOPOLIS";62
"292840 SANTA RITA DE CASSIA";339
"292850 SANTA TEREZINHA";131
"292860 SANTO AMARO";535
"292870 SANTO ANTONIO DE JESUS";1233
"292880 SANTO ESTEVAO";642
"292890 SAO DESIDERIO";583
"292895 SAO DOMINGOS";94
"292900 SAO FELIX";123
"292905 SAO FELIX DO CORIBE";236
"292910 SAO FELIPE";174
"292920 SAO FRANCISCO DO CONDE";431
"292925 SAO GABRIEL";218
"292930 SAO GONCALO DOS CAMPOS";326
"292935 SAO JOSE DA VITORIA";73
"292937 SAO JOSE DO JACUIPE";110
"292940 SAO MIGUEL DAS MATAS";84
"292950 SAO SEBASTIAO DO PASSE";374
"292960 SAPEACU";209
"292970 SATIRO DIAS";208
"292975 SAUBARA";92
"292980 SAUDE";86
"292990 SEABRA";685
"293000 SEBASTIAO LARANJEIRAS";86
"293010 SENHOR DO BONFIM";961
"293015 SERRA DO RAMALHO";542
"293020 SENTO SE";465
"293030 SERRA DOURADA";205
"293040 SERRA PRETA";86
"293050 SERRINHA";1060
"293060 SERROLANDIA";135
"293070 SIMOES FILHO";1445
"293075 SITIO DO MATO";196
"293076 SITIO DO QUINTO";106
"293077 SOBRADINHO";399
"293080 SOUTO SOARES";211
"293090 TABOCAS DO BREJO VELHO";142
"293100 TANHACU";235
"293105 TANQUE NOVO";245
"293110 TANQUINHO";61
"293120 TAPEROA";246
"293130 TAPIRAMUTA";137
"293135 TEIXEIRA DE FREITAS";2352
"293140 TEODORO SAMPAIO";51
"293150 TEOFILANDIA";180
"293160 TEOLANDIA";153
"293170 TERRA NOVA";91
"293180 TREMEDAL";161
"293190 TUCANO";549
"293200 UAUA";252
"293210 UBAIRA";215
"293220 UBAITABA";242
"293230 UBATA";169
"293240 UIBAI";142
"293245 UMBURANAS";129
"293250 UNA";196
"293260 URANDI";165
"293270 URUCUCA";273
"293280 UTINGA";200
"293290 VALENCA";1190
"293300 VALENTE";266
"293305 VARZEA DA ROCA";120
"293310 VARZEA DO POCO";81
"293315 VARZEA NOVA";179
"293317 VARZEDO";97
"293320 VERA CRUZ";489
"293325 VEREDA";83
"293330 VITORIA DA CONQUISTA";4883
"293340 WAGNER";90
"293345 WANDERLEY";154
"293350 WENCESLAU GUIMARAES";271
"293360 XIQUE-XIQUE";805
"Total";173824
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Nascidos Vivos - SINASC
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
