 Óbitos infantis - Bahia
Óbitos p/Residênc por Município e Região de Saúde (CIR)
Período:2018-2022
"Município";"29001 Alagoinhas";"29002 Barreiras";"29003 Brumado";"29004 Camaçari";"29005 Cruz das Almas";"29006 Feira de Santana";"29007 Guanambi";"29008 Ibotirama";"29009 Ilhéus";"29010 Irecê";"29011 Itaberaba";"29012 Itabuna";"29013 Itapetinga";"29014 Jacobina";"29015 Jequié";"29016 Juazeiro";"29017 Paulo Afonso";"29018 Porto Seguro";"29019 Ribeira do Pombal";"29020 Salvador";"29021 Santa Maria da Vitória";"29022 Santo Antônio de Jesus";"29023 Seabra";"29024 Senhor do Bonfim";"29025 Serrinha";"29026 Teixeira de Freitas";"29027 Valença";"29028 Vitória da Conquista";"Ignorado - BA";"Total"
"290390 BOM JESUS DA LAPA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;84;-;-;-;-;-;-;-;-;84
"290395 BOM JESUS DA SERRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;8
"290400 BONINAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;13
"290405 BONITO";-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"290410 BOQUIRA";-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"290420 BOTUPORA";-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"290430 BREJOES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"290440 BREJOLANDIA";-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"290450 BROTAS DE MACAUBAS";-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"290460 BRUMADO";-;-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48
"290470 BUERAREMA";-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"290475 BURITIRAMA";-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29
"290480 CAATIBA";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"290485 CABACEIRAS DO PARAGUACU";-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27
"290490 CACHOEIRA";-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"290500 CACULE";-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"290510 CAEM";-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"290515 CAETANOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;8
"290520 CAETITE";-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51
"290530 CAFARNAUM";-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26
"290540 CAIRU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;21
"290550 CALDEIRAO GRANDE";-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"290560 CAMACAN";-;-;-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42
"290570 CAMACARI";-;-;-;321;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;321
"290580 CAMAMU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53;-;-;53
"290590 CAMPO ALEGRE DE LOURDES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;41
"290600 CAMPO FORMOSO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;89;-;-;-;-;-;89
"290610 CANAPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;6
