 Nascidos vivos - Bahia
Nascim p/resid.mãe por Município
Período:2018-2022
"Município";"Nascim_p/resid.mãe"
"292335 OUROLANDIA";1278
"292340 PALMAS DE MONTE ALTO";1215
"292350 PALMEIRAS";745
"292360 PARAMIRIM";1133
"292370 PARATINGA";2108
"292380 PARIPIRANGA";1373
"292390 PAU BRASIL";732
"292400 PAULO AFONSO";8608
"292405 PE DE SERRA";714
"292410 PEDRAO";332
"292420 PEDRO ALEXANDRE";997
"292430 PIATA";1238
"292440 PILAO ARCADO";2855
"292450 PINDAI";877
"292460 PINDOBACU";1337
"292465 PINTADAS";431
"292467 PIRAI DO NORTE";489
"292470 PIRIPA";503
"292480 PIRITIBA";1036
"292490 PLANALTINO";374
"292500 PLANALTO";1456
"292510 POCOES";3086
"292520 POJUCA";2157
"292525 PONTO NOVO";1327
"292530 PORTO SEGURO";14101
"292540 POTIRAGUA";542
"292550 PRADO";2626
"292560 PRESIDENTE DUTRA";743
"292570 PRESIDENTE JANIO QUADROS";614
"292575 PRESIDENTE TANCREDO NEVES";1988
"292580 QUEIMADAS";1520
"292590 QUIJINGUE";1570
"292593 QUIXABEIRA";501
"292595 RAFAEL JAMBEIRO";1222
"292600 REMANSO";3139
"292610 RETIROLANDIA";944
"292620 RIACHAO DAS NEVES";1464
"292630 RIACHAO DO JACUIPE";1963
"292640 RIACHO DE SANTANA";1645
"292650 RIBEIRA DO AMPARO";889
"292660 RIBEIRA DO POMBAL";3787
"292665 RIBEIRAO DO LARGO";492
"292670 RIO DE CONTAS";669
"292680 RIO DO ANTONIO";620
"292690 RIO DO PIRES";412
"292700 RIO REAL";2445
"292710 RODELAS";853
"292720 RUY BARBOSA";2008
"292730 SALINAS DA MARGARIDA";832
"292740 SALVADOR";153710
"292750 SANTA BARBARA";1108
"292760 SANTA BRIGIDA";1059
"292770 SANTA CRUZ CABRALIA";2269
"292780 SANTA CRUZ DA VITORIA";298
"292790 SANTA INES";531
"292800 SANTALUZ";2595
"292805 SANTA LUZIA";834
"292810 SANTA MARIA DA VITORIA";2450
"292820 SANTANA";1471
"292830 SANTANOPOLIS";272
"292840 SANTA RITA DE CASSIA";1854
"292850 SANTA TEREZINHA";652
"292860 SANTO AMARO";2956
"292870 SANTO ANTONIO DE JESUS";6657
"292880 SANTO ESTEVAO";3258
"292890 SAO DESIDERIO";2953
"292895 SAO DOMINGOS";399
"292900 SAO FELIX";747
"292905 SAO FELIX DO CORIBE";1254
"292910 SAO FELIPE";1044
"292920 SAO FRANCISCO DO CONDE";2654
"292925 SAO GABRIEL";1198
"292930 SAO GONCALO DOS CAMPOS";1731
"292935 SAO JOSE DA VITORIA";425
"292937 SAO JOSE DO JACUIPE";648
"292940 SAO MIGUEL DAS MATAS";541
"292950 SAO SEBASTIAO DO PASSE";2277
"292960 SAPEACU";1108
"292970 SATIRO DIAS";1011
"292975 SAUBARA";554
"292980 SAUDE";541
"292990 SEABRA";3108
"293000 SEBASTIAO LARANJEIRAS";452
"293010 SENHOR DO BONFIM";5158
"293015 SERRA DO RAMALHO";2799
"293020 SENTO SE";2516
"293030 SERRA DOURADA";1167
"293040 SERRA PRETA";459
"293050 SERRINHA";5798
"293060 SERROLANDIA";776
"293070 SIMOES FILHO";8739
"293075 SITIO DO MATO";1015
"293076 SITIO DO QUINTO";637
"293077 SOBRADINHO";2037
"293080 SOUTO SOARES";1151
"293090 TABOCAS DO BREJO VELHO";731
"293100 TANHACU";1200
"293105 TANQUE NOVO";1111
"293110 TANQUINHO";380
"293120 TAPEROA";1234
"293130 TAPIRAMUTA";1037
