 Mortalidade - Bahia
Óbitos p/Residênc por Município
Faixa Etária: Menor 1 ano
Período:2022
"Município";"Óbitos_p/Residênc"
"293075 SITIO DO MATO";2
"293076 SITIO DO QUINTO";2
"293077 SOBRADINHO";10
"293080 SOUTO SOARES";8
"293090 TABOCAS DO BREJO VELHO";3
"293100 TANHACU";6
"293105 TANQUE NOVO";2
"293110 TANQUINHO";-
"293120 TAPEROA";3
"293130 TAPIRAMUTA";-
"293135 TEIXEIRA DE FREITAS";28
"293140 TEODORO SAMPAIO";-
"293150 TEOFILANDIA";4
"293160 TEOLANDIA";5
"293170 TERRA NOVA";5
"293180 TREMEDAL";2
"293190 TUCANO";8
"293200 UAUA";5
"293210 UBAIRA";5
"293220 UBAITABA";9
"293230 UBATA";3
"293240 UIBAI";-
"293245 UMBURANAS";5
"293250 UNA";4
"293260 URANDI";3
"293270 URUCUCA";3
"293280 UTINGA";3
"293290 VALENCA";25
"293300 VALENTE";4
"293305 VARZEA DA ROCA";4
"293310 VARZEA DO POCO";-
"293315 VARZEA NOVA";4
"293317 VARZEDO";-
"293320 VERA CRUZ";6
"293325 VEREDA";3
"293330 VITORIA DA CONQUISTA";78
"293340 WAGNER";-
"293345 WANDERLEY";-
"293350 WENCESLAU GUIMARAES";4
"293360 XIQUE-XIQUE";18
"Total";2668
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
