ano,co_uf,nascidos_vivos,obitos_infantis,taxa_mortalidade_infantil
2009,21,136368.0,2906.0,21.309984747154758
2009,22,53877.0,1108.0,20.565361842715813
2009,23,136951.0,2462.0,17.97723273287526
2009,24,51617.0,929.0,17.99794641300347
2009,25,63265.0,1113.0,17.592665770963407
2009,26,149052.0,2659.0,17.83941174891984
2009,27,57832.0,1162.0,20.092682252040394
2009,28,35794.0,633.0,17.684528133206683
2009,29,228750.0,4869.0,21.285245901639346
2009,31,262105.0,4101.0,15.646401251406878
2009,32,52692.0,614.0,11.652622789038183
2009,33,218068.0,3176.0,14.564264357906708
2009,35,602449.0,7569.0,12.563719086594881
2009,41,150146.0,1843.0,12.274719273240713
2009,42,84268.0,934.0,11.083685384724925
2009,43,134208.0,1570.0,11.6982594182165
2009,50,40871.0,745.0,18.228083482175624
2009,51,53836.0,998.0,18.537781410208783
2009,52,89887.0,1378.0,15.330359228809506
2009,53,44127.0,534.0,12.101434495886872
2010,11,28170.0,546.0,19.382321618743344
2010,12,16354.0,323.0,19.75051975051975
2010,13,79456.0,1415.0,17.808598469593235
2010,14,10686.0,145.0,13.569155904922328
2010,15,151011.0,3038.0,20.11773976730172
2010,16,16535.0,360.0,21.771998790444513
2010,17,25841.0,510.0,19.736078325142216
2010,21,130450.0,2491.0,19.095438865465695
2010,22,51752.0,961.0,18.56933065388777
2010,23,134517.0,2072.0,15.403257580826216
2010,24,49463.0,768.0,15.526757374198896
2010,25,61148.0,1015.0,16.59907110616864
2010,26,142786.0,2245.0,15.722829969324724
2010,27,57360.0,1038.0,18.09623430962343
2010,28,34794.0,568.0,16.324653675921137
2010,29,220757.0,4444.0,20.130731981318828
2010,31,262127.0,3831.0,14.61505300865611
2010,32,53189.0,612.0,11.506138487281204
2010,33,216696.0,3016.0,13.918115701258907
2010,35,604953.0,7151.0,11.820753017176541
2010,41,152057.0,1898.0,12.482161294777615
2010,42,85008.0,898.0,10.563711650668171
2010,43,133496.0,1491.0,11.168873973752023
2010,50,41207.0,619.0,15.021719610745746
2010,51,51501.0,800.0,15.53367895769014
2010,52,91533.0,1315.0,14.366403373646664
2010,53,44449.0,550.0,12.373731692501519
2011,11,29467.0,437.0,14.830148980215155
2011,12,18081.0,326.0,18.029976218129526
2011,13,81624.0,1547.0,18.952758992453198
2011,14,10857.0,153.0,14.09229068803537
2011,15,151290.0,2935.0,19.39982814462291
2011,16,16018.0,342.0,21.350980147334248
2011,17,26202.0,457.0,17.441416685749182
2011,21,130708.0,2479.0,18.96593934571717
2011,22,52077.0,979.0,18.799085968853813
2011,23,133765.0,1959.0,14.645086532351511
2011,24,50379.0,794.0,15.760535143611424
2011,25,60564.0,964.0,15.917046430222573
2011,26,147201.0,2133.0,14.490390690280638
2011,27,56858.0,975.0,17.147982693728235
2011,28,35668.0,623.0,17.46663676124257
2011,29,219096.0,4184.0,19.096651696060174
2011,31,264724.0,3827.0,14.456566083921366
2011,32,54462.0,685.0,12.577577026183393
2011,33,222073.0,3137.0,14.125985599329951
2011,35,613672.0,7322.0,11.931455239932733
2011,41,151564.0,1790.0,11.810192393972184
2011,42,88519.0,1063.0,12.008721291474147
2011,43,138792.0,1597.0,11.506426883393855
2011,50,42486.0,595.0,14.004613284376031
2011,51,53298.0,823.0,15.441479980487072
2011,52,94656.0,1463.0,15.455966869506423
2011,53,43657.0,498.0,11.407105389742767
2012,11,27727.0,414.0,14.931294406174487
2012,12,17031.0,306.0,17.96723621631143
2012,13,82629.0,1622.0,19.629912016362294
2012,14,11509.0,207.0,17.98592405943175
2012,15,146086.0,2658.0,18.194761989513026
2012,16,15489.0,360.0,23.24230098779779
2012,17,25451.0,381.0,14.96994224195513
2012,21,123926.0,2102.0,16.961735229088326
2012,22,49447.0,854.0,17.27101745303052
2012,23,131381.0,1890.0,14.385641759462937
2012,24,49211.0,788.0,16.012680091849383
2012,25,58040.0,930.0,16.023432115782217
2012,26,145912.0,2167.0,14.851417292614727
2012,27,55412.0,866.0,15.628383743593446
2012,28,34273.0,570.0,16.63116739124092
2012,29,215259.0,3985.0,18.51258251687502
2012,31,265146.0,3651.0,13.769772125545925
2012,32,54263.0,608.0,11.204688277463465
2012,33,224342.0,3129.0,13.94745522461242
2012,35,619874.0,7156.0,11.544281579804927
2012,41,152341.0,1804.0,11.841854786301782
2012,42,89449.0,964.0,10.777090856242104
2012,43,140098.0,1549.0,11.05654613199332
2012,50,42924.0,562.0,13.092908396235206
2012,51,53070.0,805.0,15.16864518560392
2012,52,93908.0,1459.0,15.53648251480172
2012,53,43689.0,514.0,11.764975165373434
2013,11,27942.0,406.0,14.530098060267697
2013,12,16826.0,308.0,18.30500416022822
2013,13,83550.0,1532.0,18.336325553560744
2013,14,11677.0,230.0,19.696839941765862
2013,15,146623.0,2574.0,17.555226669758497
2013,16,16725.0,372.0,22.242152466367713
2013,17,25061.0,365.0,14.564462710985197
2013,21,121612.0,2222.0,18.271223234549222
2013,22,47554.0,817.0,17.180468519998318
2013,23,129982.0,1907.0,14.67126217476266
2013,24,48442.0,742.0,15.317286652078774
2013,25,57750.0,885.0,15.324675324675324
2013,26,142501.0,2054.0,14.413933937305703
2013,27,54926.0,904.0,16.458507810508685
2013,28,34582.0,546.0,15.788560522815336
2013,29,208047.0,3772.0,18.13051858474287
2013,31,261789.0,3411.0,13.029577254964876
2013,32,55472.0,599.0,10.798240553792905
2013,33,225522.0,2927.0,12.978778123642039
