co_regiao_pais,regiao_pais,co_uf,sg_uf,co_macrorregiao_saude,macrorregiao_de_saude,co_regiao_saude,regiao_de_saude,co_municipio,no_municipio,populacao_ibge_2022,nome_da_regiao,sigla_da_regiao,identificacao_da_faixa_populacional,ano_de_referencia,nome_do_orgao_responsavel_pela_gestao,sigla_do_orgao_responsavel_pela_gestao,abrangencia,natureza_juridica_do_orgao_municipal_responsavel,tipo_de_servico,taxa_de_empregados_por_habitante_urbano,despesa_por_empregado,incidencia_de_despesas_com_rsu_na_prefeitura,incidencia_de_despesas_com_empresas_contratadas,auto_suficiencia_financeira,despesas_per_capita_com_rsu,incidencia_de_empregados_proprios,incidencia_de_empreg_de_empr_contrat_no_total_de_empreg_no_manejo,incidencia_de_empreg_admin_no_total_de_empreg_no_manejo,receita_arrecadada_per_capita_com_servicos_de_manejo,tx_cobertura_da_coleta_rdo_em_relacao_a_pop_total,tx_cobertura_da_coleta_rdo_em_relacao_a_pop_urbana,tx_cobertura_de_coleta_direta_rdo_relativo_a_pop_urbana,taxa_de_terceirizacao_da_coleta,produtividades_media_de_coletadores_e_motorista,taxa_de_motoristas_e_coletadores_por_habitante_urbano,massa_rdo_rpu_coletada_per_capita_em_relacao_a_pop_urbana,massa_rdo_coletada_per_capita_em_relacao_a_pop_total_atendida,custo_unitario_da_coleta,incidencia_do_custo_da_coleta_no_custo_total_do_manejo,incidencia_de_emprega_da_coleta_no_total_de_empregados_no_manejo,relacao_quantidade_rcd_coletada_pela_pref_p_quant_total_rdo_rpu,relacao_quantidades_coletadas_de_rpu_por_rdo,massa_rdo_rpu_coletada_per_capita_em_relacao_a_populacao_total_atendida,massa_de_rcd_per_capita_ano_em_relacao_a_pop_urbana,taxa_de_cobertura_da_col_seletiva_porta_a_porta_em_relacao_a_pop_urbana,taxa_de_recuperacao_de_reciclaveis_em_relacao_a_quantidade_de_rdo_e_rpu,massa_recuperada_per_capita,relacao_entre_quantidades_da_coleta_seletiva_e_rdo,incid_de_papel_papelao_sobre_total_mat_recuperado,incid_de_plasticos_sobre_total_material_recuperado,incid_de_metais_sobre_total_material_recuperado,incid_de_vidros_sobre_total_de_material_recuperado,incidencia_de_outros_sobre_total_material_recuperado,massa_per_capita_recolhida_via_coleta_seletiva,massa_de_rss_coletada_per_capita,taxa_de_rss_sobre_rdo_rpu,taxa_de_terceirizacao_de_varredores,taxa_de_terceirizacao_de_varricao,custo_unitario_da_varricao,produtividade_media_do_varredores,taxa_de_varredores_por_habitante_urbano,incidencia_do_custo_da_varricao_no_custo_total_do_manejo,incidencia_de_varredores_no_total_de_empregados_no_manejo,extensao_total_anual_varrida_per_capita,taxa_de_capinadores_por_habitante_urbano,relacao_de_capinadores_no_total_de_empregados_no_manejo
2,Nordeste,29,BA,2910,SUL (NBS - ILHEUS),29015,JEQUIE,291420,BA - IRAJUBA,6101,Nordeste,NE,1,2022,Prefeitura Municipal de Irajuba,PMI,Local,Administração pública direta,Res. Sólidos ,,28566.67,3.06,100.0,,,0.0,100.0,6.67,,98.34,,,40.0,479.23,,,,112.0,16.34,16.67,4.8,,0.57,,,36.0,,,66.67,22.22,11.11,0.0,0.0,,,0.24,100.0,,,,,81.68,33.33,,,16.67
2,Nordeste,29,BA,2910,SUL (NBS - ILHEUS),29015,JEQUIE,291430,BA - IRAMAIA,10752,Nordeste,NE,1,2022,Prefeitura Municipal de Iramaia,PMI,Local,Administração pública direta,Res. Sólidos ,,23760.0,1.03,0.0,,,100.0,0.0,,,83.71,,,0.0,,,,,,,,40.0,,0.15,,,,,,,,,,,,,,,,,,,,,,,
2,Nordeste,29,BA,2917,CENTRO-LESTE (NRS - FEIRA SANTANA),29023,SEABRA,291440,BA - IRAQUARA,23879,Nordeste,NE,1,2022,Prefeitura Municipal de Iraquara,PMI,Local,Administração pública direta,Res. Sólidos ,,31404.39,5.49,0.8,,,100.0,0.0,2.02,,32.04,,,0.0,1351.68,,,,84.77,15.0,13.13,,,1.97,,,,,,,,,,,,,0.03,0.0,,,,,75.78,72.73,,,12.12
2,Nordeste,29,BA,2917,CENTRO-LESTE (NRS - FEIRA SANTANA),29006,FEIRA DE SANTANA,291450,BA - IRARA,28043,Nordeste,NE,1,2022,Prefeitura Municipal de Irará,PMI,Local,Administração pública direta,Res. Sólidos ,,,4.07,4.45,2.25,,,,,,53.49,,,0.0,,,,,84.7,39.26,,55.44,,2.37,,,,,,,,,,,,,0.3,,,,,,56.29,,,,
2,Nordeste,29,BA,2918,CENTRO - NORTE (NRS - JACOBINA),29010,IRECE,291460,BA - IRECE,74507,Nordeste,NE,2,2022,SECRETARIA DE INFRAESTRUTURA E SERVIÇOS PÚBLICOS,SISP,Local,Administração pública direta,Res. Sólidos ,,33308.51,2.38,100.0,,,0.0,100.0,4.44,,100.0,,,100.0,3874.39,,,,80.32,56.86,19.44,54.44,,1.56,,,,,,,,,,,,,,100.0,,,,,27.08,41.11,,,9.44
2,Nordeste,29,BA,2916,EXTREMO SUL (NRS - TEIXEIRA FREITAS),29018,PORTO SEGURO,291465,BA - ITABELA,28165,Nordeste,NE,1,2022,Prefeitura Municipal de Itabela,PMI,Local,Administração pública direta,Res. Sólidos ,,75411.97,7.19,100.0,,,0.0,100.0,7.78,,73.85,,,99.97,369.81,,,,498.69,23.81,31.11,,,0.43,,,,,,,,,,,,,,100.0,,,,,48.79,35.56,,,5.56
2,Nordeste,29,BA,2917,CENTRO-LESTE (NRS - FEIRA SANTANA),29011,ITABERABA,291470,BA - ITABERABA,65073,Nordeste,NE,2,2022,PREFEITURA MUNICIPAL,PMI,Local,Administração pública direta,Res. Sólidos ,,22052.44,0.88,0.0,,,39.51,60.49,4.94,,99.34,,,25.0,3194.89,,,,29.75,24.98,18.52,2.5,,0.85,,,,,,,,,,,,,,100.0,,,,,35.38,49.38,,,24.69
2,Nordeste,29,BA,2910,SUL (NBS - ILHEUS),29012,ITABUNA,291480,BA - ITABUNA,186708,Nordeste,NE,3,2022,PREFEITURA MUNICIPAL DE ITABUNA,PMI,Local,Administração pública direta,Res. Sólidos ,,471356.16,3.69,100.0,,,0.0,100.0,,,96.91,,,100.0,,,,,154.24,74.47,,,,2.0,,,,,,,,,,,,,0.0,,,,,,23.16,,,,
2,Nordeste,29,BA,2910,SUL (NBS - ILHEUS),29009,ILHEUS,291490,BA - ITACARE,27704,Nordeste,NE,1,2022,SECRETARIA DE DESENVOLVIMENTO URBANO,SEDUR,Local,Administração pública direta,Res. Sólidos ,,37559.31,4.69,7.62,,,90.48,9.52,4.76,,72.19,,,0.0,1135.96,,,,178.5,36.21,21.43,,,1.32,,,,,,,,,,,,,,0.0,,,,,41.99,54.76,,,19.05
2,Nordeste,29,BA,2917,CENTRO-LESTE (NRS - FEIRA SANTANA),29011,ITABERABA,291500,BA - ITAETE,13472,Nordeste,NE,1,2022,Prefeitura Municipal de Itaetê,PMI,Local,Administração pública direta,Res. Sólidos ,,41289.63,5.68,100.0,,,0.0,100.0,1.92,,74.23,,,100.0,1277.96,,,,75.0,11.18,15.38,,,0.88,,,,,,,,,,,,,,100.0,,,,,42.53,30.77,,,26.92
