co_uf,sg_uf,co_municipio,tx_atendimento_total_agua,tx_atendimento_urbano_agua,tx_atendimento_urbano_esgoto,tx_coleta_esgoto,tx_tratamento_esgoto,consumo_per_capita_agua,idx_conformidade_coliformes,no_prestador_servico_ae
29,BA,291090,87.95,0.0,0.0,0.0,0.0,106.95,80.91,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291100,68.73,0.0,0.0,0.0,0.0,95.58,133.33,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291110,64.38,0.0,0.0,0.0,0.0,117.82,123.45,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291120,75.47,0.0,0.0,0.0,0.0,99.14,134.01,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291125,59.33,0.0,0.0,0.0,0.0,126.0,125.0,Prefeitura Municipal de Gavião
29,BA,291130,50.28,0.0,0.0,66.55,99.99,69.05,132.69,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291140,63.6,0.0,0.0,19.37,100.0,109.15,103.86,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291150,64.01,0.0,0.0,0.0,0.0,99.26,121.76,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291160,51.17,0.0,0.0,0.0,0.0,127.25,118.86,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291165,27.57,0.0,0.0,0.0,0.0,153.75,59.94,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291170,79.92,0.0,0.0,64.08,100.0,153.27,99.62,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291180,47.03,0.0,0.0,0.0,0.0,96.53,344.58,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291185,61.46,0.0,0.0,0.0,0.0,107.2,137.22,Prefeitura Municipal de Heliópolis
29,BA,291190,80.51,0.0,0.0,0.0,0.0,111.21,112.96,Prefeitura Municipal de Iaçu
29,BA,291200,54.64,0.0,0.0,0.0,0.0,146.69,125.0,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291210,97.16,0.0,0.0,0.0,0.0,209.42,100.0,Serviço Autônomo de Água e Esgoto
29,BA,291220,63.43,0.0,0.0,0.0,0.0,42.05,139.78,Prefeitura Municipal de Ibicoara
29,BA,291230,75.72,0.0,0.0,0.0,0.0,101.36,111.81,Prefeitura Municipal de Ibicuí
29,BA,291240,88.35,0.0,0.0,0.0,0.0,100.38,119.2,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291250,35.24,0.0,0.0,0.0,0.0,140.71,109.26,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291260,54.93,0.0,0.0,0.0,0.0,123.11,125.64,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291270,56.51,0.0,0.0,0.0,0.0,87.85,127.55,Prefeitura Municipal de Ibirapitanga
29,BA,291280,56.97,0.0,0.0,0.0,0.0,135.66,117.13,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291290,83.09,0.0,0.0,0.0,0.0,96.29,149.04,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291300,30.14,0.0,0.0,37.08,100.0,87.52,180.56,Central - Sistemas de Saneamento de Seabra
29,BA,291310,95.99,0.0,0.0,0.0,0.0,117.5,119.52,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291320,79.22,0.0,0.0,77.59,100.0,116.66,108.99,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291330,83.51,0.0,0.0,0.0,0.0,107.83,118.59,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291340,82.47,0.0,0.0,61.98,92.57,139.9,99.36,Serviço Autônomo de Água e Esgoto
29,BA,291345,31.85,0.0,0.0,0.0,0.0,97.89,121.76,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291350,56.71,0.0,0.0,9.94,100.0,103.96,134.88,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291360,87.44,0.0,0.0,70.86,100.0,126.0,108.07,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291370,58.34,0.0,0.0,0.0,0.0,100.37,77.54,Prefeitura Municipal de Inhambupe
29,BA,291380,71.4,0.0,0.0,0.0,0.0,88.76,110.53,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291390,90.84,0.0,0.0,31.64,100.0,108.7,117.8,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291400,64.8,0.0,0.0,36.68,100.0,114.31,106.77,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291410,67.29,0.0,0.0,61.62,100.0,99.21,136.59,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291420,64.4,0.0,0.0,0.0,0.0,79.03,183.33,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291430,45.07,0.0,0.0,0.0,0.0,111.63,106.71,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291440,43.01,0.0,0.0,0.0,0.0,107.52,68.9,Central - Sistemas de Saneamento de Seabra
29,BA,291450,66.76,0.0,0.0,0.0,0.0,398.28,64.91,Prefeitura Municipal de Irará
29,BA,291460,98.59,0.0,0.0,12.69,100.0,117.67,102.41,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291465,85.5,0.0,0.0,3.45,100.0,88.68,73.41,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291470,89.22,0.0,0.0,45.7,100.0,107.28,94.78,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291490,50.79,0.0,0.0,66.03,100.0,144.69,125.0,Prefeitura Municipal de Itacaré
29,BA,291500,55.41,0.0,0.0,0.0,0.0,100.54,138.71,Empresa Baiana de Águas e Saneamento S.A.
