ano,co_uf,sg_uf,co_municipio,no_municipio,nascidos_vivos,obitos_infantis,taxa_mortalidade_infantil
2022,29,BA,291685,ITATIM,181.0,1.0,5.524861878453039
2022,29,BA,291690,ITIRUCU,118.0,1.0,8.474576271186441
2022,29,BA,291700,ITIUBA,415.0,11.0,26.50602409638554
2022,29,BA,291710,ITORORO,166.0,3.0,18.072289156626507
2022,29,BA,291720,ITUACU,232.0,4.0,17.241379310344826
2022,29,BA,291730,ITUBERA,249.0,3.0,12.048192771084338
2022,29,BA,291733,IUIU,116.0,2.0,17.241379310344826
2022,29,BA,291735,JABORANDI,169.0,3.0,17.75147928994083
2022,29,BA,291740,JACARACI,131.0,1.0,7.633587786259541
2022,29,BA,291750,JACOBINA,1191.0,13.0,10.915197313182201
2022,29,BA,291760,JAGUAQUARA,652.0,6.0,9.202453987730062
2022,29,BA,291770,JAGUARARI,403.0,4.0,9.925558312655086
2022,29,BA,291780,JAGUARIPE,172.0,4.0,23.25581395348837
2022,29,BA,291790,JANDAIRA,115.0,1.0,8.695652173913043
2022,29,BA,291800,JEQUIE,2023.0,29.0,14.335145823035097
2022,29,BA,291810,JEREMOABO,463.0,4.0,8.639308855291578
2022,29,BA,291820,JIQUIRICA,130.0,0.0,0.0
2022,29,BA,291830,JITAUNA,149.0,4.0,26.845637583892618
2022,29,BA,291835,JOAO DOURADO,380.0,7.0,18.421052631578945
2022,29,BA,291840,JUAZEIRO,3854.0,54.0,14.01141670991178
2022,29,BA,291845,JUCURUCU,99.0,0.0,0.0
2022,29,BA,291850,JUSSARA,189.0,5.0,26.455026455026452
2022,29,BA,291855,JUSSARI,48.0,0.0,0.0
2022,29,BA,291860,JUSSIAPE,62.0,0.0,0.0
2022,29,BA,291870,LAFAIETE COUTINHO,36.0,0.0,0.0
2022,29,BA,291875,LAGOA REAL,111.0,1.0,9.00900900900901
2022,29,BA,291880,LAJE,235.0,2.0,8.51063829787234
2022,29,BA,291890,LAJEDAO,38.0,0.0,0.0
2022,29,BA,291900,LAJEDINHO,32.0,0.0,0.0
2022,29,BA,291905,LAJEDO DO TABOCAL,63.0,0.0,0.0
2022,29,BA,291910,LAMARAO,82.0,0.0,0.0
2022,29,BA,291915,LAPAO,372.0,2.0,5.376344086021506
2022,29,BA,291920,LAURO DE FREITAS,2575.0,42.0,16.310679611650485
2022,29,BA,291930,LENCOIS,103.0,6.0,58.25242718446602
2022,29,BA,291940,LICINIO DE ALMEIDA,127.0,2.0,15.748031496062993
2022,29,BA,291950,LIVRAMENTO DE NOSSA SENHORA,501.0,2.0,3.992015968063872
2022,29,BA,291955,LUIS EDUARDO MAGALHAES,2114.0,17.0,8.04162724692526
2022,29,BA,291960,MACAJUBA,120.0,2.0,16.666666666666668
2022,29,BA,291970,MACARANI,146.0,0.0,0.0
2022,29,BA,291980,MACAUBAS,467.0,9.0,19.271948608137045
2022,29,BA,291990,MACURURE,93.0,1.0,10.752688172043012
2022,29,BA,291992,MADRE DE DEUS,180.0,2.0,11.11111111111111
2022,29,BA,291995,MAETINGA,59.0,1.0,16.949152542372882
2022,29,BA,292000,MAIQUINIQUE,109.0,4.0,36.69724770642202
2022,29,BA,292010,MAIRI,148.0,0.0,0.0
2022,29,BA,292020,MALHADA,230.0,2.0,8.695652173913043
2022,29,BA,292030,MALHADA DE PEDRAS,93.0,1.0,10.752688172043012
2022,29,BA,292040,MANOEL VITORINO,138.0,1.0,7.246376811594203
2022,29,BA,292045,MANSIDAO,76.0,3.0,39.473684210526315
2022,29,BA,292050,MARACAS,302.0,4.0,13.245033112582782
2022,29,BA,292060,MARAGOGIPE,404.0,5.0,12.376237623762377
2022,29,BA,292070,MARAU,257.0,4.0,15.56420233463035
2022,29,BA,292080,MARCIONILIO SOUZA,112.0,2.0,17.857142857142858
2022,29,BA,292090,MASCOTE,125.0,4.0,32.0
2022,29,BA,292100,MATA DE SAO JOAO,649.0,7.0,10.785824345146379
2022,29,BA,292105,MATINA,107.0,3.0,28.037383177570092
2022,29,BA,292110,MEDEIROS NETO,288.0,3.0,10.416666666666666
2022,29,BA,292120,MIGUEL CALMON,306.0,8.0,26.143790849673202
2022,29,BA,292130,MILAGRES,136.0,3.0,22.058823529411764
2022,29,BA,292140,MIRANGABA,155.0,5.0,32.25806451612903
2022,29,BA,292145,MIRANTE,100.0,2.0,20.0
2022,29,BA,292150,MONTE SANTO,603.0,13.0,21.558872305140962
2022,29,BA,292160,MORPARA,102.0,1.0,9.803921568627452
