ano,co_uf,sg_uf,co_municipio,no_municipio,nascidos_vivos,obitos_infantis,taxa_mortalidade_infantil,co_regiao_pais,regiao_pais,co_macrorregiao_saude,macrorregiao_de_saude,co_regiao_saude,regiao_de_saude,populacao_ibge_2022,nome_da_regiao,sigla_da_regiao,identificacao_da_faixa_populacional,ano_de_referencia,nome_do_orgao_responsavel_pela_gestao,sigla_do_orgao_responsavel_pela_gestao,abrangencia,natureza_juridica_do_orgao_municipal_responsavel,tipo_de_servico,taxa_de_empregados_por_habitante_urbano,despesa_por_empregado,incidencia_de_despesas_com_rsu_na_prefeitura,incidencia_de_despesas_com_empresas_contratadas,auto_suficiencia_financeira,despesas_per_capita_com_rsu,incidencia_de_empregados_proprios,incidencia_de_empreg_de_empr_contrat_no_total_de_empreg_no_manejo,incidencia_de_empreg_admin_no_total_de_empreg_no_manejo,receita_arrecadada_per_capita_com_servicos_de_manejo,tx_cobertura_da_coleta_rdo_em_relacao_a_pop_total,tx_cobertura_da_coleta_rdo_em_relacao_a_pop_urbana,tx_cobertura_de_coleta_direta_rdo_relativo_a_pop_urbana,taxa_de_terceirizacao_da_coleta,produtividades_media_de_coletadores_e_motorista,taxa_de_motoristas_e_coletadores_por_habitante_urbano,massa_rdo_rpu_coletada_per_capita_em_relacao_a_pop_urbana,massa_rdo_coletada_per_capita_em_relacao_a_pop_total_atendida,custo_unitario_da_coleta,incidencia_do_custo_da_coleta_no_custo_total_do_manejo,incidencia_de_emprega_da_coleta_no_total_de_empregados_no_manejo,relacao_quantidade_rcd_coletada_pela_pref_p_quant_total_rdo_rpu,relacao_quantidades_coletadas_de_rpu_por_rdo,massa_rdo_rpu_coletada_per_capita_em_relacao_a_populacao_total_atendida,massa_de_rcd_per_capita_ano_em_relacao_a_pop_urbana,taxa_de_cobertura_da_col_seletiva_porta_a_porta_em_relacao_a_pop_urbana,taxa_de_recuperacao_de_reciclaveis_em_relacao_a_quantidade_de_rdo_e_rpu,massa_recuperada_per_capita,relacao_entre_quantidades_da_coleta_seletiva_e_rdo,incid_de_papel_papelao_sobre_total_mat_recuperado,incid_de_plasticos_sobre_total_material_recuperado,incid_de_metais_sobre_total_material_recuperado,incid_de_vidros_sobre_total_de_material_recuperado,incidencia_de_outros_sobre_total_material_recuperado,massa_per_capita_recolhida_via_coleta_seletiva,massa_de_rss_coletada_per_capita,taxa_de_rss_sobre_rdo_rpu,taxa_de_terceirizacao_de_varredores,taxa_de_terceirizacao_de_varricao,custo_unitario_da_varricao,produtividade_media_do_varredores,taxa_de_varredores_por_habitante_urbano,incidencia_do_custo_da_varricao_no_custo_total_do_manejo,incidencia_de_varredores_no_total_de_empregados_no_manejo,extensao_total_anual_varrida_per_capita,taxa_de_capinadores_por_habitante_urbano,relacao_de_capinadores_no_total_de_empregados_no_manejo,tx_atendimento_total_agua,tx_atendimento_urbano_agua,tx_atendimento_urbano_esgoto,tx_coleta_esgoto,tx_tratamento_esgoto,consumo_per_capita_agua,idx_conformidade_coliformes,no_prestador_servico_ae
2022,29,BA,292270,NOVA CANAA,718.0,18.0,25.069637883008355,2,Nordeste,2911,SUDOESTE (NBS - VITORIA CONQUISTA),29013,ITAPETINGA,13715,Nordeste,NE,1,2022,Prefeitura Municipal de Nova Canaã,PMNC,Local,Administração pública direta,Res. Sólidos ,,75053.75,3.18,,,,100.0,0.0,,,47.71,,,0.0,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,41.0,0.0,0.0,0.0,8.47,112.51,105.08,Prefeitura Municipal de Nova Canaã
2022,29,BA,292275,NOVA IBIA,239.0,2.0,8.368200836820083,2,Nordeste,2910,SUL (NBS - ILHEUS),29027,VALENCA,6501,Nordeste,NE,1,2022,Prefeitura Municipal de Nova Ibiá,PMNI,Local,Administração pública direta,Res. Sólidos ,,10851.39,0.6,,,,100.0,0.0,0.0,,61.53,,,0.0,2717.78,,,,,,16.67,58.78,,1.75,,,,,,,,,,,,,2.12,0.0,,,,,,38.89,,,44.44,42.18,0.0,0.0,0.0,0.0,101.47,102.31,Prefeitura Municipal de Nova Ibiá
2022,29,BA,292280,NOVA ITARANA,560.0,5.0,8.928571428571429,2,Nordeste,2910,SUL (NBS - ILHEUS),29015,JEQUIE,7780,Nordeste,NE,1,2022,PREFEITURA MUNICIPAL DE NOVA ITARANA,PMNI,Local,Administração pública direta,Res. Sólidos ,,28457.14,2.95,0.0,,,100.0,0.0,,,52.31,,,0.0,,,,,500.0,60.24,,166.67,,0.81,,,,,,,,,,,,,,,,,,,30.12,,,,,86.22,0.0,0.0,0.0,0.0,101.02,106.02,Empresa Baiana de Águas e Saneamento S.A.
2022,29,BA,292285,NOVA REDENCAO,449.0,9.0,20.0445434298441,2,Nordeste,2917,CENTRO-LESTE (NRS - FEIRA SANTANA),29011,ITABERABA,7538,Nordeste,NE,1,2022,Prefeitura Municipal de Nova Redenção,PMNR,Local,Administração pública direta,Res. Sólidos ,,18604.65,4.79,0.0,,,100.0,0.0,11.63,,58.37,,,0.0,763.09,,,1.87,96.62,37.5,30.23,3.22,3.5,1.93,,,0.1,,,0.0,32.26,67.74,0.0,0.0,,,0.32,0.0,,,,,25.0,27.91,,,13.95,82.29,0.0,0.0,0.0,0.0,85.12,111.29,Empresa Baiana de Águas e Saneamento S.A.
2022,29,BA,292300,NOVA VICOSA,2480.0,33.0,13.306451612903224,2,Nordeste,2916,EXTREMO SUL (NRS - TEIXEIRA FREITAS),29026,TEIXEIRA DE FREITAS,39509,Nordeste,NE,2,2022,"Secretaria Municipal de Viação, Obras e Serviços Públicos",SMVOSP,Local,Empresa pública,Res. Sólidos ,,15066.67,4.5,,,,68.75,31.25,,,95.67,,,56.98,,,,,,,,5.6,,2.08,,,15.67,,,,,,,,,,,,100.0,,,,,,,,,85.86,0.0,0.0,5.49,100.0,66.49,91.94,Empresa Baiana de Águas e Saneamento S.A.
2022,29,BA,292303,NOVO HORIZONTE,688.0,10.0,14.534883720930232,2,Nordeste,2917,CENTRO-LESTE (NRS - FEIRA SANTANA),29023,SEABRA,11162,Nordeste,NE,1,2022,Prefeitura Municipal de Novo Horizonte,PMNH,Local,Administração pública direta,Res. Sólidos ,,,2.0,3.81,,,,,,,53.01,,,0.0,,,,0.59,118.09,35.05,,,78.12,1.06,,,,,,,,,,,,,,,,,,,37.62,,,,,77.73,0.0,0.0,0.0,0.0,157.73,100.0,Prefeitura Municipal de Novo Horizonte
2022,29,BA,292305,NOVO TRIUNFO,527.0,8.0,15.180265654648956,2,Nordeste,2914,NORDESTE (NRS - ALAGOINHAS),29019,RIBEIRA DO POMBAL,11101,Nordeste,NE,1,2022,PREFEITURA MUNICIPAL,PMNT,Local,Administração pública direta,Res. Sólidos ,,29937.48,3.44,63.49,,,66.22,33.78,2.7,,88.73,,,75.01,1657.79,,,0.97,93.61,19.73,12.16,0.56,33.31,1.3,,,,,,,,,,,,,0.02,33.9,,,,,79.5,79.73,,,5.41,49.85,0.0,0.0,0.0,0.0,70.09,66.67,Prefeitura Municipal de Novo Triunfo
2022,29,BA,292310,OLINDINA,1422.0,19.0,13.361462728551336,2,Nordeste,2914,NORDESTE (NRS - ALAGOINHAS),29019,RIBEIRA DO POMBAL,22633,Nordeste,NE,1,2022,SECRETARIA MUNICIPAL DE OBRAS E SERVIÇOS URBANOS,SESUR,Local,Administração pública direta,Res. Sólidos ,,32692.31,2.43,,,,3.85,96.15,9.62,,64.19,,,100.0,2617.21,,,1.07,,,13.46,6.28,1.06,1.08,,,,,,,,,,,,,0.14,100.0,100.0,,0.53,,,57.69,,,19.23,50.78,0.0,0.0,0.0,0.0,113.49,31.83,Empresa Baiana de Águas e Saneamento S.A.
2022,29,BA,292320,OLIVEIRA DOS BREJINHOS,1345.0,14.0,10.408921933085502,2,Nordeste,2912,OESTE (NBS - BARREIRAS),29008,IBOTIRAMA,20715,Nordeste,NE,1,2022,Prefeitura Municipal de Oliveira dos Brejinhos,PMOB,Local,Administração pública direta,Res. Sólidos ,,27027.03,1.03,,,,100.0,0.0,8.11,,96.55,,,6.54,1645.37,,,,,,16.22,,,0.44,,,3.12,,,,,,,,,,,0.0,,,,,,40.54,,,21.62,32.59,0.0,0.0,0.0,0.0,289.94,100.0,Sistema Autônomo de Água e Esgotos
2022,29,BA,292335,OUROLANDIA,1278.0,20.0,15.64945226917058,2,Nordeste,2918,CENTRO - NORTE (NRS - JACOBINA),29014,JACOBINA,19243,Nordeste,NE,1,2022,Prefeitura Municipal de Ourolândia,PMO,Local,Administração pública direta,Res. Sólidos ,,45481.71,4.34,,,,0.0,100.0,,,92.5,,,100.0,,,,,,,,43.35,,2.95,,,1.42,,,,,,,,,,,,,,,,,,,,,45.73,0.0,0.0,49.9,100.0,115.34,105.18,Central - Sistemas de Saneamento de Jacobina
