-,-,-,-,-,-,-,-,-,-,-,-,-,IN002,IN003,IN004,IN007,IN008,IN010,IN015,IN017,IN018,IN023,IN024,IN025,IN028,IN037,IN041,IN046,IN047,IN052
315737,3157377,Santa Cruz de Salinas,MG,Sudeste,SE,1,2022,PREFEITURA MUNICIPAL DE SANTA CRUZ DE SALINAS,PMSCS,Local,Administração pública direta,Res. Sólidos ,24902.06,1.95,4.99,100,0,7.14,40.36,0,286.37,261.47,20.17,21.43,0.47,0.11,0,67.22,35.71,35.71
150640,1506401,Santa Cruz do Arari,PA,Norte,N ,1,2022,Prefeitura Municipal de Santa Cruz do Arari,PMSCA,Local,Administração pública direta,Res. Sólidos ,,2.27,0,,,,69.27,0,10415.34,104.29,100,50,1.73,,,0,0,0
261250,2612505,Santa Cruz do Capibaribe,PE,Nordeste,NE,2,2022,Secretaria de Serviços Públicos,SSP,Local,Administração pública direta,Res. Sólidos ,121309.09,2.72,91.01,45.45,54.55,0,95.67,100,1277.96,500,89.93,54.55,0.35,0.03,0,8.99,45.45,0
315740,3157401,Santa Cruz do Escalvado,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Santa Cruz do Escalvado,PMSCE,Local,Administração pública direta,Res. Sólidos ,,1.88,35.88,,,,66.34,0,1154.15,117.65,54.18,22.22,1.28,0.07,0,9.94,16.67,11.11
354640,3546405,Santa Cruz do Rio Pardo,SP,Sudeste,SE,2,2022,Prefeitura Municipal Santa Cruz do Rio Pardo,PMSCRP,Local,Administração pública direta,Res. Sólidos ,56231.31,2.77,,27.12,72.88,3.39,98.93,100,2655.25,,,13.56,0.79,,100,,51.69,17.8
220915,2209153,Santa Cruz dos Milagres,PI,Nordeste,NE,1,2022,SECRETARIA DE INFRAESTRUTURA URBANA E TRANSPORTES,SIUT,Local,Administração pública direta,Res. Sólidos ,,2.39,0,,,,68.44,0,530.35,314.91,70.94,38.46,0.97,,,29.06,0,53.85
431680,4316808,Santa Cruz do Sul,RS,Sul,S ,3,2022,Prefeitura Municipal de Santa Cruz do Sul,PMSCS,Local,Administração pública direta,Res. Sólidos ,115776.09,2.39,94.74,19.69,80.31,3.15,99.92,94.75,3073.61,168.56,43.69,30.71,0.78,0.04,0,12.54,11.02,22.83
510774,5107743,Santa Cruz do Xingu,MT,Centro-Oeste,CO,1,2022,Prefeitura Municipal de Santa Cruz do Xingu,PMSCX,Local,Administração pública direta,Res. Sólidos ,,4.81,100,,,,57.91,87.45,1972.84,165.18,82.51,22.22,2.2,,100,10.11,44.44,33.33
315750,3157500,Santa Efigênia de Minas,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Santa Efigênia de Minas,pm,Local,Administração pública direta,Res. Sólidos ,15675.68,3.22,,100,0,,61.77,0,,,,,0.31,,,,,
354650,3546504,Santa Ernestina,SP,Sudeste,SE,1,2022,Prefeitura Municipal de Santa Ernestina,PMSE,Local,Administração pública direta,Res. Sólidos ,89889.52,4.68,1.08,100,0,,96.44,0,,38.29,6.21,,0.81,0.17,,0,,
412340,4123402,Santa Fé,PR,Sul,S ,1,2022,Secretaria de Obras Viação e Urbanismo,S.o.v.u.,Local,Administração pública direta,Res. Sólidos ,57090.91,2.59,32.32,36.36,63.64,9.09,96.68,10.04,1962.57,156.9,59.71,31.82,1.19,0.06,100,27.07,22.73,27.27
521925,5219258,Santa Fé de Goiás,GO,Centro-Oeste,CO,1,2022,Prefeitura Municipal de Santa Fé de Goiás,PMSFG,Local,Administração pública direta,Res. Sólidos ,40476.19,4.43,0,100,0,7.14,80.57,0,1942.49,281.95,70.59,16.67,2.92,0.03,0,23.53,30.95,11.9
171886,1718865,Santa Fé do Araguaia,TO,Norte,N ,1,2022,Prefeitura Municipal de Santa Fé do Araguaia,TO,Local,Administração pública direta,Res. Sólidos ,12886.67,1.22,,53.33,46.67,,83.15,0,,,,,0.89,,,,,
354660,3546603,Santa Fé do Sul,SP,Sudeste,SE,2,2022,Prefeitura Municipal da Estancia Turistica de Santa Fé do Sul,PMSFS,Local,Administração pública direta,Res. Sólidos ,52042.53,2.49,,94.59,5.41,5.41,99.91,7.87,1515.34,,,27.03,0.81,0.34,0,,47.3,10.81
