-,-,-,-,-,-,-,-,-,-,-,-,-,IN002,IN003,IN004,IN007,IN008,IN010,IN015,IN017,IN018,IN023,IN024,IN025,IN028,IN037,IN041,IN046,IN047,IN052
130070,1300706,Boca do Acre,AM,Norte,N ,2,2022,Prefeitura Municipal de Boca do Acre,PM,Local,Administração pública direta,Res. Sólidos ,,3.86,0,,,,100,0,,111.19,82.2,,0.21,,,0,,
220180,2201804,Bocaina,PI,Nordeste,NE,1,2022,Secretaria de Meio Ambiente,PMB,Local,Administração pública direta,Res. Sólidos ,55076.27,3.72,60.37,38.46,61.54,0,60.08,33.14,337.46,,,30.77,0.47,0.33,0,,38.46,30.77
350680,3506805,Bocaina,SP,Sudeste,SE,1,2022,Diretoria de Agricultura e Meio Ambiente,DAMA,Local,Administração pública direta,Res. Sólidos ,22689.56,0.94,3.79,87.5,12.5,0,98.28,0,777.42,117.55,47.27,37.5,0.54,0.16,0,48.94,45.83,16.67
310720,3107208,Bocaina de Minas,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Bocaina de Minas,PMBM,Local,Administração pública direta,Res. Sólidos ,14828.41,1.37,14.66,69.57,30.43,4.35,59.84,27.17,731.1,95.45,38.43,26.09,1.18,0.07,0,43.98,30.43,39.13
420243,4202438,Bocaina do Sul,SC,Sul,S ,1,2022,Prefeitura de Bocaina do Sul,PMBS,Local,Administração pública direta,Res. Sólidos ,46785.84,1.32,,57.14,42.86,0,69.96,97.83,392.44,,,42.86,0.41,0.81,0,,57.14,0
310730,3107307,Bocaiúva,MG,Sudeste,SE,2,2022,SECRETARIA MUNICIPAL DE MEIO AMBIENTE E SERVIÇOS URBANOS,SEMMA,Local,Administração pública direta,Res. Sólidos ,,1.83,0,,,,99.92,52.17,,,,,0.43,,,,,
410310,4103107,Bocaiúva do Sul,PR,Sul,S ,1,2022,Prefeitura Municipal de Bocaiúva do Sul,PMBS,Local,Administração pública direta,Res. Sólidos ,122343.29,1.46,89.83,42.86,57.14,0,100,75.06,772.25,,,100,0.35,,,,0,0
240165,2401651,Bodó,RN,Nordeste,NE,1,2022,Prefeitura Municipal de Bodó,PMB-RN,Local,Administração pública direta,Res. Sólidos ,31504.31,0.88,,100,0,,78.06,0,,,,,1.53,,,,,
260200,2602001,Bodocó,PE,Nordeste,NE,2,2022,Prefeitura Municipal de Bodocó,PMB,Local,Administração pública direta,Res. Sólidos ,52250,0.78,2.87,100,0,0,58.01,0,532.48,500,59.81,37.5,0.14,1,0,34.45,62.5,0
500215,5002159,Bodoquena,MS,Centro-Oeste,CO,1,2022,Secretaria municipal de obras,secobras,Local,Administração pública direta,Res. Sólidos ,,1.52,61.31,,,,72.03,5,,159.59,23.29,,0.75,0.96,,15.4,,
350690,3506904,Bofete,SP,Sudeste,SE,1,2022,Prefeitura Municipal de Bofete,PMB,Local,Administração pública direta,Res. Sólidos ,44414.85,0.82,9.45,100,0,,95.06,0,,100.55,90.55,,0.99,,,0,,
350700,3507001,Boituva,SP,Sudeste,SE,2,2022,"SECRETARIA DE MEIO AMBIENTE, PARQUES E DESENVOLVIMENTO SUSTENTAVEL",SMAPDS,Local,Administração pública direta,Res. Sólidos ,147589.8,5.69,95.63,23.68,76.32,6.14,100,100,2174.06,195.17,22.82,23.68,0.88,0.18,75.68,25.92,32.46,23.68
420245,4202453,Bombinhas,SC,Sul,S ,1,2022,Secretaria Municipal de Saúde e Saneamento,PMB,Local,Administração pública direta,Res. Sólidos ,129428.38,6.77,100,0,100,3.06,97.44,100,1531.25,486.37,45.95,25.51,1.34,0.02,100,23.24,30.61,25.51
260210,2602100,Bom Conselho,PE,Nordeste,NE,2,2022,Prefeitura Municipal de Bom Conselho,PMBC,Local,Administração pública direta,Res. Sólidos ,47305.28,2.78,100,0,100,3.37,97.5,100,4858.89,229.85,99.64,13.48,1.16,,100,0,69.66,13.48
310740,3107406,Bom Despacho,MG,Sudeste,SE,2,2022,Secretaria Municipal de Meio Ambiente,SMMA,Local,Administração pública direta,Res. Sólidos ,35492.4,2.4,,28.1,71.9,7.44,96.75,86.38,2570.11,,,22.31,1.21,,50.98,,42.15,10.74
210200,2102002,Bom Jardim,MA,Nordeste,NE,2,2022,Secretaria Municipal de Meio Ambiente,SEMMA,Local,Administração pública direta,Res. Sólidos ,24677.97,0.89,0,100,0,8.47,66.91,0,553.78,315.38,56.32,25.42,0.32,,0,19.92,22.03,20.34
260220,2602209,Bom Jardim,PE,Nordeste,NE,2,2022,PREFEITURA MUNICIPAL DO BOM JARDIM,PMBJ,Local,Administração pública direta,Res. Sólidos ,19505.88,4.26,0,100,0,9.41,69.34,0,858.63,58.84,15.26,18.82,0.45,0.11,0,66.34,54.12,17.65
330050,3300506,Bom Jardim,RJ,Sudeste,SE,1,2022,Prefeitura Municipal de Bom Jardim/RJ,PMBJ,Local,Administração pública direta,Res. Sólidos ,84910.37,3.65,100,0,100,13.89,88.46,100,1096.65,486.57,54.64,27.78,0.76,0.05,100,33.31,12.5,15.28
420250,4202503,Bom Jardim da Serra,SC,Sul,S ,1,2022,Prefeitura Municipal de Bom Jardim da Serra,pmbj,Local,Administração pública direta,Res. Sólidos ,62517.94,2.53,,66.67,33.33,0,59.09,100,1214.06,449.98,,33.33,1.31,,0,,33.33,33.33
520340,5203401,Bom Jardim de Goiás,GO,Centro-Oeste,CO,1,2022,Prefeitura Municipal de Bom Jardim de Goiás,PMBJG,Local,Administração pública direta,Res. Sólidos ,36725.94,3.65,100,0,100,3.33,98.08,0.84,255.06,341.27,29.67,40,0.34,0.84,100,69.24,16.67,26.67
310750,3107505,Bom Jardim de Minas,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Bom Jardim de Minas,PMBJM,Local,Administração pública direta,Res. Sólidos ,56307.04,2.1,0,100,0,,85.63,0,,130.1,19.87,,0.49,,,13.99,,
250220,2502201,Bom Jesus,PB,Nordeste,NE,1,2022,Prefeitura Municipal de Bom Jesus,PMBJ,Local,Administração pública direta,Res. Sólidos ,33571.43,3.13,100,0,100,7.14,63.04,100,851.97,400,68.09,21.43,1.52,0.12,100,27.66,42.86,21.43
220190,2201903,Bom Jesus,PI,Nordeste,NE,1,2022,Prefeitura Municipal de Bom Jesus,PMBJ,Local,Administração pública direta,Res. Sólidos ,165881.64,4.27,100,100,0,0,65.98,98.33,2231.1,80.82,24.02,70.59,1.21,,0,19.59,29.41,0
240170,2401701,Bom Jesus,RN,Nordeste,NE,1,2022,PREFEITURA MUNICIPAL DE BOM JESUS,PMBJ,Local,Administração pública direta,Res. Sólidos ,36471.04,1.94,75.05,40,60,8,69.98,100,928.8,224.48,50.1,28,0.8,1.47,70,24.84,40,12
430230,4302303,Bom Jesus,RS,Sul,S ,1,2022,Prefeitura Municipal de Bom Jesus,PMBJ,Local,Administração pública direta,Res. Sólidos ,97686.74,2.04,90.69,41.67,58.33,0,71.42,100,814.48,446.91,58.31,50,0.52,,0,3.44,8.33,16.67
420253,4202537,Bom Jesus,SC,Sul,S ,1,2022,AMBIENTAL LIMPEZA URBANA E SANEAMENTO LTDA,Ambiental,Local,Empresa privada,Res. Sólidos ,53873.67,1.31,57.52,50,50,,57.98,100,,320.41,48.87,,0.84,,,11.55,,
290390,2903904,Bom Jesus da Lapa,BA,Nordeste,NE,2,2022,Prefeitura Municipal de Bom Jesus da Lapa,PM,Local,Administração pública direta,Res. Sólidos ,38500,2.02,0,100,0,4.17,81.24,26.53,1060.7,144.58,25.97,20.83,0.5,0.1,0,51.95,66.67,8.33
310760,3107604,Bom Jesus da Penha,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Bom Jesus da    Penha,PMBJP,Local,Administração pública direta,Res. Sólidos ,35701.1,2.21,1.48,100,0,17.65,72.75,0,1900.96,250.06,73.54,17.65,1.5,0.08,0,24.97,35.29,29.41
290395,2903953,Bom Jesus da Serra,BA,Nordeste,NE,1,2022,PREFEITURA MUNICIPAL DE BOM JESUS DA SERRA,BA,Local,Administração pública direta,Res. Sólidos ,,3.2,0,,,,54.16,0,,320.47,27.76,0,0.57,,,30.61,0,0
210203,2102036,Bom Jesus das Selvas,MA,Nordeste,NE,1,2022,Prefeitura Municipal de Bom Jesus Das Selvas,PMBJS,Local,Administração pública direta,Res. Sólidos ,185157.69,3.12,,20,80,,69.93,0,,,,,0.68,0.2,,,,
310770,3107703,Bom Jesus do Amparo,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Bom Jesus do Amparo,PMBJA,Local,Administração pública direta,Res. Sólidos ,1903.16,18.08,0,100,0,5.26,47.06,9.09,79.87,175.7,97.18,42.11,0.23,2.73,0,1.11,21.05,5.26
510185,5101852,Bom Jesus do Araguaia,MT,Centro-Oeste,CO,1,2022,Prefeitura Municipal de Bom Jesus do Araguaia,PMBJA,Local,Administração pública direta,Res. Sólidos ,26300,1.31,0,100,0,,52.87,0,,166.67,88.72,,1.49,,,10.14,,
310780,3107802,Bom Jesus do Galho,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Bom Jesus do Galho,PMBJG,Local,Administração pública direta,Res. Sólidos ,28010.31,14.51,76.81,65.52,34.48,6.9,80.32,0,527.16,457.36,92.9,34.48,0.39,0.06,0,5.76,10.34,20.69
330060,3300605,Bom Jesus do Itabapoana,RJ,Sudeste,SE,2,2022,"SECRETARIA MUNICIPAL DE OBRAS, TRANSPORTES E SERVIÇOS PÚBLICOS",SEMOTSP,Local,Administração pública direta,Res. Sólidos ,84316.07,15.49,100,3.3,96.7,2.2,71.08,8,1379.44,421.62,40.33,18.68,0.87,0.05,100,50.83,45.05,13.19
320110,3201100,Bom Jesus do Norte,ES,Sudeste,SE,1,2022,SECRETARIA MUNICIPAL DE OBRAS E SERVIÇOS URBANOS,SEMOB,Local,Administração pública direta,Res. Sólidos ,40598.65,2.4,20.71,100,0,3.23,88.02,0,915.56,125.92,20.07,22.58,0.61,0.12,0,59.22,61.29,12.9
420257,4202578,Bom Jesus do Oeste,SC,Sul,S ,1,2022,PREFEITURA MUNICIPAL DE BOM JESUS DO OESTE,PMBJO,Local,Administração pública direta,Res. Sólidos ,65831.37,1.39,52.78,100,0,25,30.27,100,,464.25,43.12,0,1.01,0.41,,47.22,0,75
350710,3507100,Bom Jesus dos Perdões,SP,Sudeste,SE,1,2022,Prefeitura Municipal de Bom Jesus Dos Perdões,PMBJP,Local,Administração pública direta,Res. Sólidos ,,4.09,71.92,,,,100,0,1144.88,416.34,71.71,42.22,0.85,0.14,0,28.08,8.89,42.22
410315,4103156,Bom Jesus do Sul,PR,Sul,S ,1,2022,PREFEITURA MUNICIPAL DE BOM JESUS DO SUL,PMBJS,Local,Administração pública direta,Res. Sólidos ,37114.29,1.33,60.74,57.14,42.86,,24.35,93.59,,436.54,52.42,,0.88,0.38,,39.26,,
150157,1501576,Bom Jesus do Tocantins,PA,Norte,N ,1,2022,prefeitura municipal de Bom Jesus do Tocantins,PMBJT,Local,Administração pública direta,Res. Sólidos ,62418.03,2.13,0,100,0,6.67,42.98,0,585.73,143.49,4.21,10,0.19,,0,16.99,46.67,33.33
170330,1703305,Bom Jesus do Tocantins,TO,Norte,N ,1,2022,PREFEITURA MUNICIPAL DE BOM JESUS DO TOCANTINS,PMBJTO,Local,Administração pública direta,Res. Sólidos ,45454.55,6.25,,100,0,,76.77,0,,,,,2.65,,,,,
210207,2102077,Bom Lugar,MA,Nordeste,NE,1,2022,Prefeitura Municipal de Bom Lugar,PMBL,Local,Administração pública direta,Res. Sólidos ,64073.93,2.78,100,0,100,,38.9,100,,,,,0.63,,,,,
430235,4302352,Bom Princípio,RS,Sul,S ,1,2022,PREFEITURA MUNICIPAL DE BOM PRINCÍPIO,PMBP,Local,Administração pública direta,Res. Sólidos ,54256.61,1.48,97.26,14.29,85.71,3.57,96.1,97.62,720.57,470.5,55.88,28.57,0.39,0.19,0,44.12,3.57,64.29
430237,4302378,Bom Progresso,RS,Sul,S ,1,2022,Secretaria Municipal de Obras e Viação,SMOV,Local,Administração pública direta,Res. Sólidos ,32151.57,0.75,14.47,100,0,0,49.62,0,1054.53,80.79,62.21,75,2.61,0.09,0,23.33,25,0
310790,3107901,Bom Repouso,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Bom Repouso,PMBR,Local,Administração pública direta,Res. Sólidos ,10745.39,0.54,0,100,0,5.56,99.97,0,2076.68,44.81,75.3,27.78,0.7,,0,0,38.89,0
420260,4202602,Bom Retiro,SC,Sul,S ,1,2022,"Secretaria de Transportes, Obras e Serviços Urbanos",STOSU,Local,Administração pública direta,Res. Sólidos ,65371.22,1.96,85.63,33.33,66.67,8.33,87.84,100,4017.04,166.63,80.12,25,1.4,0.07,0,14.37,25,8.33
250230,2502300,Bom Sucesso,PB,Nordeste,NE,1,2022,SECRETARIA DE INFRAESTRUTURA,SIE,Local,Administração pública direta,Res. Sólidos ,15698.33,1.19,100,100,0,,53.64,100,,403.53,24.72,,0.27,,,69.48,,
410320,4103206,Bom Sucesso,PR,Sul,S ,1,2022,Prefeitura Municipal de Bom Sucesso,PMBS,Local,Administração pública direta,Res. Sólidos ,36390.07,1.03,10.06,100,0,12.5,99.53,0,2726.3,50.78,44.66,37.5,1.07,0.06,0,33.49,25,12.5
350715,3507159,Bom Sucesso de Itararé,SP,Sudeste,SE,1,2022,Prefeitura Municipal de Bom Sucesso de Itararé,PMBSI,Local,Administração pública direta,Res. Sólidos ,,0.57,6.08,,,,99.97,0,,442.14,63.64,,0.19,,,30.28,,
410322,4103222,Bom Sucesso do Sul,PR,Sul,S ,1,2022,DEPARTAMENTO DE OBRAS E SERVIÇOS URBANOS,DOSU,Local,Administração pública direta,Res. Sólidos ,49747.53,0.83,84.06,57.14,42.86,0,53.09,100,1351.44,194.11,70.74,42.86,2.05,,0,21.68,28.57,28.57
310810,3108107,Bonfim,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Bonfim,PMB,Local,Administração pública direta,Res. Sólidos ,34252.86,1.95,2.84,64.71,35.29,5.88,40.36,0,830.67,56.75,7.6,17.65,0.71,,0,18.88,35.29,35.29
140015,1400159,Bonfim,RR,Norte,N ,1,2022,Prefeitura Municipal de Obras e Serviços Públicos,SMOSP,Local,Administração pública direta,Res. Sólidos ,,8.2,0,,,,91.22,0,463.44,29.6,73.53,47.37,0.56,,50,3.43,52.63,0
220192,2201929,Bonfim do Piauí,PI,Nordeste,NE,1,2022,Prefeitura Municipal de Bonfim do Piauí,PMBP,Local,Administração pública direta,Res. Sólidos ,22699.14,0.59,10.95,100,0,0,30.34,0.47,910.54,33.98,18.29,42.86,1.31,0.05,0,70.76,57.14,0
520355,5203559,Bonfinópolis,GO,Centro-Oeste,CO,1,2022,Prefeitura Municipal de Bonfinópolis,PMB,Local,Administração pública direta,Res. Sólidos ,40188.05,4.83,0,100,0,9.52,91.69,0.29,1094.02,75.09,21.33,33.33,0.7,0.33,0,66.5,38.1,0
310820,3108206,Bonfinópolis de Minas,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Bonfinopolis de Minas,PM,Local,Administração pública direta,Res. Sólidos ,41964.79,1.1,2.67,100,0,9.09,68.87,0,2108.63,120.49,68.91,36.36,1.9,,,28.42,0,18.18
290400,2904001,Boninal,BA,Nordeste,NE,1,2022,PREFEITURA MUNICIPAL DE BONINAL,PMB,Local,Administração pública direta,Res. Sólidos ,,4.6,74.9,,,,70.42,93.53,2252.4,400.46,74.9,12.24,1.24,0.02,33.33,25.1,61.22,20.41
500220,5002209,Bonito,MS,Centro-Oeste,CO,1,2022,Secretaria Municipal de Meio Ambiente,SEMA,Local,Administração pública direta,Res. Sólidos ,,1.99,,,,,88.76,0,,,,,2.74,,,,,
150160,1501600,Bonito,PA,Norte,N ,1,2022,Prefeitura Municipal de Bonito,PMB,Local,Administração pública direta,Res. Sólidos ,28873.25,10.38,,78.38,21.62,5.41,51.86,43.09,98.24,,,21.62,0.1,,50,,10.81,35.14
260230,2602308,Bonito,PE,Nordeste,NE,2,2022,Prefeitura Municipal de Bonito,PMB,Local,Administração pública direta,Res. Sólidos ,16281.01,0.58,,0,100,11.36,77.71,100,1822.68,,,27.27,0.65,,100,,36.36,
310825,3108255,Bonito de Minas,MG,Sudeste,SE,1,2022,Secretaria Municipal de obras e serviços urbanos da prefeitura do Bonito de Minas,SMO,Local,Administração pública direta,Res. Sólidos ,59364.59,2.07,18.3,76.47,23.53,0,22.2,100,1017.04,238.76,22.59,17.65,1.16,,0,56.5,35.29,47.06
250240,2502409,Bonito de Santa Fé,PB,Nordeste,NE,1,2022,Prefeitura Municipal de Bonito de Santa Fé,PMBSF,Local,Administração pública direta,Res. Sólidos ,8307.69,1.29,,41.54,58.46,6.15,66,1.19,3993.61,,,6.15,2.05,,100,,46.15,30.77
520357,5203575,Bonópolis,GO,Centro-Oeste,CO,1,2022,Fundo Municipal de Saúde e Secretaria de Urbanismo,FMS,Local,Administração pública direta,Res. Sólidos ,21833.33,0.48,0,100,0,,35.71,0,,124.07,76.34,,1.87,,,7.63,,
250250,2502508,Boqueirão,PB,Nordeste,NE,1,2022,Prefeitura Municipal de Boqueirão,PMB,Local,Administração pública direta,Res. Sólidos ,16666.67,0.95,,100,0,2.78,73.91,0,1073.48,,,27.78,0.71,0.04,0,,50,16.67
430245,4302451,Boqueirão do Leão,RS,Sul,S ,1,2022,Prefeitura Municipal,PMBL,Local,Administração pública direta,Res. Sólidos ,44954.85,1.4,,20,80,,52.38,75,,,,,0.05,,,,,
220194,2201945,Boqueirão do Piauí,PI,Nordeste,NE,1,2022,Prefeitura Municipal de Boqueirão do Piauí,PMBPi,Local,Administração pública direta,Res. Sólidos ,14544,0.45,,100,0,,43.38,0,,,,,1.45,,,,,
280067,2800670,Boquim,SE,Nordeste,NE,1,2022,"Secretaria de Obras, Urbanismo e Serviços de Utilidade Publica",SOUSUP,Local,Administração pública direta,Res. Sólidos ,45258.95,2.55,95.97,6.82,93.18,,94.17,98.39,,,,,0.88,2.17,,,,
350720,3507209,Borá,SP,Sudeste,SE,1,2022,Prefeitura Municipal Bora,PM,Local,Administração pública direta,Res. Sólidos ,32045.97,0.81,0,100,0,,96.58,0,,471.9,67.48,,0.57,0.27,,24.91,,
350730,3507308,Boracéia,SP,Sudeste,SE,1,2022,Prefeitura Municipal de Boracéia,SP,Local,Administração pública direta,Res. Sólidos ,64647.74,1.43,0,100,0,0,89.76,11.76,798.72,215.8,35.76,42.86,0.55,,,57.33,0,42.86
130080,1300805,Borba,AM,Norte,N ,2,2022,Prefeitura Municipal de Borba,PMB,Local,Administração pública direta,Res. Sólidos ,17567.83,1.62,0,100,0,4.2,41.45,0,1015.64,71.72,17.24,13.29,1.21,1.13,0,40.84,31.47,34.27
250270,2502706,Borborema,PB,Nordeste,NE,1,2022,Prefeitura Municipal de Borborema,PMB,Local,Administração pública direta,Res. Sólidos ,13188.99,1.1,,100,0,,72.97,91.38,,,,,1.03,0.17,,,,
350740,3507407,Borborema,SP,Sudeste,SE,1,2022,Prefeitura Municipal de Borborema,PMB,Local,Administração pública direta,Res. Sólidos ,,2.07,1.02,,,,93.95,8.37,807.32,405.86,98.98,50,0.73,0.14,,0,0,38.46
310830,3108305,Borda da Mata,MG,Sudeste,SE,1,2022,Prefeitura Municipal,PMBM,Local,Administração pública direta,Res. Sólidos ,38014.17,1.62,36.14,78.79,21.21,9.09,80.95,0,1322.46,112.01,25.87,21.21,0.56,0.07,0,29.28,33.33,30.3
350745,3507456,Borebi,SP,Sudeste,SE,1,2022,Prefeitura Municipal de Borebi,PMB,Local,Administração pública direta,Res. Sólidos ,233544.14,4.49,,100,0,,100,0,,,,,0.71,,,,,
410330,4103305,Borrazópolis,PR,Sul,S ,1,2022,SECRETARIA MUNICIPAL DE AGRICULTURA MEIO AMBIENTE E DESENVOLVIMENTO SOCIAL,SEMADE,Local,Administração pública direta,Res. Sólidos ,57470.48,4.82,61.89,100,0,3.85,73.46,10.21,,210.67,21.92,0,0.75,,0,15.87,23.08,15.38
430250,4302501,Bossoroca,RS,Sul,S ,1,2022,Secretaria Municipal de Obras e trânsito,SMOT,Local,Administração pública direta,Res. Sólidos ,50271.11,1.29,43.88,75,25,8.33,53.45,78.88,726.62,281.45,33.14,25,0.62,0.42,0,52.93,25,33.33
310840,3108404,Botelhos,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Botelhos,PMB,Local,Administração pública direta,Res. Sólidos ,44089.96,3.98,,75,25,2.27,99.16,0,808.71,,,18.18,0.38,0.05,22.58,,70.45,9.09
350750,3507506,Botucatu,SP,Sudeste,SE,3,2022,Secretaria de Infraestrutura Municipal,SIM,Local,Administração pública direta,Res. Sólidos ,,3.22,60.87,,,,100,93.44,2100.66,303.47,73.93,43.28,0.72,0.14,,12.34,0,47.01
310850,3108503,Botumirim,MG,Sudeste,SE,1,2022,SECRETARIA MUNICIPAL DE OBRAS,SMO,Local,Administração pública direta,Res. Sólidos ,37894.74,5.5,,89.47,10.53,5.26,53.13,18.75,170.39,,,31.58,0.29,1.56,0,,52.63,10.53
290420,2904209,Botuporã,BA,Nordeste,NE,1,2022,Prefeitura Municipal de Botuporã,PMB,Local,Administração pública direta,Res. Sólidos ,31562.7,2.12,,100,0,,57.6,9.49,,,,,0.47,,,,,
420270,4202701,Botuverá,SC,Sul,S ,1,2022,PREFEITURA MUNICIPAL DE BOTUVERÁ,PMB,Local,Administração pública direta,Res. Sólidos ,45630.83,2.25,43.26,37.5,62.5,6.25,95.1,100,318.27,339.95,46.39,62.5,0.54,0.1,0,9.65,12.5,18.75
430258,4302584,Bozano,RS,Sul,S ,1,2022,PREFEITURA MUNICIPAL BOZANO,PMB,Local,Administração pública direta,Res. Sólidos ,43646.71,1.29,65.16,40,60,40,57.04,100,280.83,245.98,29.72,60,0.59,1.86,,0,0,0
420280,4202800,Braço do Norte,SC,Sul,S ,2,2022,PREFEITURA MUNICIPAL DE BRAÇO DO NORTE SC,PMBN,Local,Administração pública direta,Res. Sólidos ,108743.02,2.82,100,25,75,13.89,81.39,100,1571.67,406.95,76.71,41.67,0.74,0.06,66.67,21.46,16.67,27.78
420285,4202859,Braço do Trombudo,SC,Sul,S ,1,2022,Prefeitura Municipal de Braço do Trombudo,PMBT,Local,Administração pública direta,Res. Sólidos ,,1.92,88.79,,,,53.92,100,740.15,178.36,21.35,42.86,0.88,0.09,0,35.59,14.29,14.29
430260,4302600,Braga,RS,Sul,S ,1,2022,Prefeitura Municipal de Braga,PMB,Local,Administração pública direta,Res. Sólidos ,8834,0.5,100,69.23,30.77,0,61.57,25.96,1202.88,69.09,90.6,30.77,2.05,,0,0,30.77,38.46
150170,1501709,Bragança,PA,Norte,N ,3,2022,Secretaria Municipal de Infraestrutura urbana e rural- SINFRA,SINFRA,Local,Administração pública direta,Res. Sólidos ,,1.09,0,,,,72.31,0,21612.51,37.16,42.27,11.67,1.46,0.51,0,29.27,25,1.67
350760,3507605,Bragança Paulista,SP,Sudeste,SE,3,2022,Secretaria Municipal de Serviços,SMS,Local,Empresa pública,Res. Sólidos ,64318.6,3.12,100,0,100,2.16,99.54,99.84,1862.22,171.63,71.64,45.69,0.97,0.08,100,7.94,38.79,0
410335,4103354,Braganey,PR,Sul,S ,1,2022,Prefeitura Municipal de Braganey,PMB,Local,Administração pública direta,Res. Sólidos ,47202.81,2.33,26.85,100,0,8.33,99.53,60.03,1168.26,348.17,74.44,25,0.69,0.64,0,12.13,25,41.67
270110,2701100,Branquinha,AL,Nordeste,NE,1,2022,Prefeitura Municipal Branquinha,PMB,Local,Administração pública direta,Res. Sólidos ,27092.64,1.48,,100,0,5,62.21,0,575.96,,,20,0.66,2,0,,25,50
500230,5002308,Brasilândia,MS,Centro-Oeste,CO,1,2022,Município de Brasilândia,PMB,Local,Administração pública direta,Res. Sólidos ,83664.71,2.87,76.34,54.84,45.16,12.9,69.25,7.96,587.38,307.17,23.66,32.26,0.68,0.31,100,51.5,41.94,9.68
310855,3108552,Brasilândia de Minas,MG,Sudeste,SE,1,2022,PREF MUN DE BRASILÂNDIA DE MINAS,PMBM,Local,Administração pública direta,Res. Sólidos ,5113.64,2.81,,50,50,,85.09,0,,,,,0.93,0.12,,,,
410337,4103370,Brasilândia do Sul,PR,Sul,S ,1,2022,PREFEITURA MUNICIPAL DE BRASILÂNDIA DO SUL,PMBS,Local,Administração pública direta,Res. Sólidos ,21300.22,1.41,47.97,55.56,44.44,11.11,67.85,63.02,63.54,275.86,34.82,50,0.53,0.31,0,21.55,22.22,5.56
170360,1703602,Brasilândia do Tocantins,TO,Norte,N ,1,2022,Prefeitura Municipal de Brasilândia do Tocantins,PMBT,Local,Administração pública direta,Res. Sólidos ,17987.95,2.28,,100,0,,98.28,0,,,,,0.34,,,,,
120010,1200104,Brasiléia,AC,Norte,N ,1,2022,Secretaria de Obras da Prefeitura de Brasileia,SEMOTUR,Local,Administração pública direta,Res. Sólidos ,69704.9,4.84,0.5,100,0,6.25,73.65,0,2928.65,127.32,41.86,25,1.57,0.02,0,32.65,18.75,31.25
220196,2201960,Brasileira,PI,Nordeste,NE,1,2022,Prefeitura Municipal de Brasileira,PMB,Local,Administração pública direta,Res. Sólidos ,,2.52,,,,,53.34,1.27,,,,,0.96,,,,,
530010,5300108,Brasília,DF,Centro-Oeste,CO,5,2022,Serviço de Limpeza Urbana,SLU/DF,Local,Autarquia,Res. Sólidos ,106692.61,2.24,84.55,14.11,85.89,,97.77,100,,161.1,18.62,,0.72,,,22.51,,
310860,3108602,Brasília de Minas,MG,Sudeste,SE,2,2022,PREFEITURA MUNICIPAL  DE BRASILIA DE MINAS,PMBM,Local,Administração pública direta,Res. Sólidos ,47985.66,1.62,6.05,100,0,5.13,64.63,0,1597.44,119.4,86.13,69.23,1.79,0.12,,0.64,0,25.64
150172,1501725,Brasil Novo,PA,Norte,N ,1,2022,Prefeitura Municipal,PM,Local,Administração pública direta,Res. Sólidos ,25012.05,0.8,0,100,0,,54.82,0,,19,20.64,,1.65,,,69.04,,
510190,5101902,Brasnorte,MT,Centro-Oeste,CO,1,2022,PREFEITURA MUNICIPAL DE BRASNORTE,MT,Local,Administração pública direta,Res. Sólidos ,70356.62,1.34,,100,0,0,97.79,0,935.39,,,39.13,0.43,,0,,26.09,34.78
310870,3108701,Brás Pires,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Brás Pires,PMBP,Local,Administração pública direta,Res. Sólidos ,5692.18,0.33,14.46,100,0,7.14,47.91,0,319.49,136.33,85.54,35.71,0.67,,0,0,28.57,21.43
350770,3507704,Braúna,SP,Sudeste,SE,1,2022,Serviço Autônomo de Saneamento Ambiental de Braúna,SASB,Local,Autarquia,Res. Sólidos ,,2.05,0.92,,,,87.47,0,396.75,376.83,99.08,91.67,0.8,0.26,,0,0,8.33
310880,3108800,Braúnas,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Braúnas,PMB,Local,Administração pública direta,Res. Sólidos ,34327.64,1.29,1.54,100,0,,70.25,0,,273.5,72.66,,0.8,,,25.8,,
520360,5203609,Brazabrantes,GO,Centro-Oeste,CO,1,2022,PREFEITURA MUNICIPAL DE BRAZABRANTES,PMB,Local,Administração pública direta,Res. Sólidos ,50258.76,2.34,36.02,100,0,0,99.72,10.45,1141.64,61.74,16.46,37.5,0.74,0.07,0,36.25,62.5,0
310890,3108909,Brazópolis,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Brazópolis,PMB,Local,Administração pública direta,Res. Sólidos ,46365.55,2.22,0,100,0,4,100,0,770.29,101.81,21.18,40,0.46,0.18,0,13.1,24,32
260240,2602407,Brejão,PE,Nordeste,NE,1,2022,Prefeitura Municipal de Brejão,PMB,Local,Administração pública direta,Res. Sólidos ,257446.34,1,,100,0,,93.62,0.43,,,,,0.3,,,,,
